"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 14 23:43:25 UTC 2023","Tue Feb 14 23:43:33 UTC 2023","8101","","telnyx","","telnyx","A3 - Checking that it is not possible to login without email","A3 - Checking that it is not possible to login without email",""
"passed","Tue Feb 14 23:43:33 UTC 2023","Tue Feb 14 23:43:41 UTC 2023","7969","","telnyx","","telnyx","A4 - Checking that it is not possible to login with invalid email","A4 - Checking that it is not possible to login with invalid email",""
"passed","Tue Feb 14 23:45:29 UTC 2023","Tue Feb 14 23:45:34 UTC 2023","5061","","telnyx","","telnyx","A13 - Checking that is not possible to Sign Up without a Full Name","A13 - Checking that is not possible to Sign Up without a Full Name",""
"passed","Tue Feb 14 23:44:18 UTC 2023","Tue Feb 14 23:44:30 UTC 2023","11687","","telnyx","","telnyx","A11 - Checking that the button ""Reset password"" is disabled with empty field","A11 - Checking that the button ""Reset password"" is disabled with empty field",""
"passed","Tue Feb 14 23:47:40 UTC 2023","Tue Feb 14 23:47:44 UTC 2023","4008","","telnyx","","telnyx","A13 - Checking that is not possible to Sign Up without a Full Name","A13 - Checking that is not possible to Sign Up without a Full Name",""
"passed","Tue Feb 14 23:46:42 UTC 2023","Tue Feb 14 23:46:48 UTC 2023","5988","","telnyx","","telnyx","A9 - Checking that it is not possible to Single Sign-On with invalid company name","A9 - Checking that it is not possible to Single Sign-On with invalid company name",""
"passed","Tue Feb 14 23:43:41 UTC 2023","Tue Feb 14 23:43:49 UTC 2023","8500","","telnyx","","telnyx","A8 - Checking that it is not possible to Single Sign-On with invalid email","A8 - Checking that it is not possible to Single Sign-On with invalid email",""
"passed","Tue Feb 14 23:45:39 UTC 2023","Tue Feb 14 23:45:44 UTC 2023","4825","","telnyx","","telnyx","A15 - Checking that is not possible to Sign Up without checked checkbox ""I agree to the Terms and Conditions""","A15 - Checking that is not possible to Sign Up without checked checkbox ""I agree to the Terms and Conditions""",""
"passed","Tue Feb 14 23:47:27 UTC 2023","Tue Feb 14 23:47:33 UTC 2023","6447","","telnyx","","telnyx","A7 - Checking the ability to do to the Login page from the Resend Email page","A7 - Checking the ability to do to the Login page from the Resend Email page",""
"passed","Tue Feb 14 23:44:38 UTC 2023","Tue Feb 14 23:44:50 UTC 2023","12021","","telnyx","","telnyx","A5 - Checking the ability to resend verification email","A5 - Checking the ability to resend verification email",""
"passed","Tue Feb 14 23:46:08 UTC 2023","Tue Feb 14 23:46:11 UTC 2023","3542","","telnyx","","telnyx","A20 - Checking the ability to go to the Sign Up page from Contact page","A20 - Checking the ability to go to the Sign Up page from Contact page",""
"passed","Tue Feb 14 23:46:25 UTC 2023","Tue Feb 14 23:46:31 UTC 2023","5551","","telnyx","","telnyx","A3 - Checking that it is not possible to login without email","A3 - Checking that it is not possible to login without email",""
"passed","Tue Feb 14 23:46:13 UTC 2023","Tue Feb 14 23:46:20 UTC 2023","7454","","telnyx","","telnyx","A1 - Checking that it is not possible to login with baned email","A1 - Checking that it is not possible to login with baned email",""
