"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 18:37:41 EET 2023","Tue Feb 07 18:37:50 EET 2023","8158","","telnyx","","telnyx","A14 - Checking that is not possible to Sign Up with a short password","A14 - Checking that is not possible to Sign Up with a short password",""
"passed","Tue Feb 07 18:32:39 EET 2023","Tue Feb 07 18:32:46 EET 2023","7591","","telnyx","","telnyx","A12 - Checking that is not possible to Sign Up without an Email","A12 - Checking that is not possible to Sign Up without an Email",""
"passed","Tue Feb 07 18:35:06 EET 2023","Tue Feb 07 18:35:22 EET 2023","16029","","telnyx","","telnyx","A9 - Checking that it is not possible to Single Sign-On with invalid company name","A9 - Checking that it is not possible to Single Sign-On with invalid company name",""
"passed","Tue Feb 07 18:35:42 EET 2023","Tue Feb 07 18:35:59 EET 2023","17243","","telnyx","","telnyx","A10 - Checking the ability to go to the Login page from Reset Password page","A10 - Checking the ability to go to the Login page from Reset Password page",""
"passed","Tue Feb 07 18:29:52 EET 2023","Tue Feb 07 18:30:00 EET 2023","7856","","telnyx","","telnyx","A20 - Checking the ability to go to the Sign Up page from Contact page","A20 - Checking the ability to go to the Sign Up page from Contact page",""
"passed","Tue Feb 07 18:34:35 EET 2023","Tue Feb 07 18:34:45 EET 2023","9229","","telnyx","","telnyx","A3 - Checking that it is not possible to login without email","A3 - Checking that it is not possible to login without email",""
"passed","Tue Feb 07 18:38:24 EET 2023","Tue Feb 07 18:38:50 EET 2023","25563","","telnyx","","telnyx","A19 - Checking the ability to open Privacy Policy on the bottom of the Sign Up page","A19 - Checking the ability to open Privacy Policy on the bottom of the Sign Up page",""
"passed","Tue Feb 07 18:37:27 EET 2023","Tue Feb 07 18:37:36 EET 2023","8366","","telnyx","","telnyx","A12 - Checking that is not possible to Sign Up without an Email","A12 - Checking that is not possible to Sign Up without an Email",""
"passed","Tue Feb 07 18:37:56 EET 2023","Tue Feb 07 18:38:02 EET 2023","5509","","telnyx","","telnyx","A16 - Checking the ability to see a password","A16 - Checking the ability to see a password",""
"passed","Tue Feb 07 18:33:06 EET 2023","Tue Feb 07 18:33:12 EET 2023","5346","","telnyx","","telnyx","A16 - Checking the ability to see a password","A16 - Checking the ability to see a password",""
"passed","Tue Feb 07 18:30:03 EET 2023","Tue Feb 07 18:30:19 EET 2023","16179","","telnyx","","telnyx","A1 - Checking that it is not possible to login with baned email","A1 - Checking that it is not possible to login with baned email",""
"passed","Tue Feb 07 18:31:19 EET 2023","Tue Feb 07 18:31:32 EET 2023","12274","","telnyx","","telnyx","A11 - Checking that the button ""Reset password"" is disabled with empty field","A11 - Checking that the button ""Reset password"" is disabled with empty field",""
"passed","Tue Feb 07 18:33:16 EET 2023","Tue Feb 07 18:33:22 EET 2023","5483","","telnyx","","telnyx","A18 - Checking the ability to open Terms of Service on the bottom of the Sign Up page","A18 - Checking the ability to open Terms of Service on the bottom of the Sign Up page",""
"passed","Tue Feb 07 18:31:54 EET 2023","Tue Feb 07 18:32:06 EET 2023","11162","","telnyx","","telnyx","A6 - Checking the ability to do to the Sign Up page from the Resend Email page","A6 - Checking the ability to do to the Sign Up page from the Resend Email page",""
"passed","Tue Feb 07 18:32:53 EET 2023","Tue Feb 07 18:32:59 EET 2023","5760","","telnyx","","telnyx","A14 - Checking that is not possible to Sign Up with a short password","A14 - Checking that is not possible to Sign Up with a short password",""
"passed","Tue Feb 07 18:30:19 EET 2023","Tue Feb 07 18:30:26 EET 2023","7008","","telnyx","","telnyx","A2 - Checking that other OAuth Providers are visible on the Login Page","A2 - Checking that other OAuth Providers are visible on the Login Page",""
"passed","Tue Feb 07 18:30:26 EET 2023","Tue Feb 07 18:30:35 EET 2023","8880","","telnyx","","telnyx","A3 - Checking that it is not possible to login without email","A3 - Checking that it is not possible to login without email",""
"passed","Tue Feb 07 18:36:27 EET 2023","Tue Feb 07 18:36:45 EET 2023","18457","","telnyx","","telnyx","A5 - Checking the ability to resend verification email","A5 - Checking the ability to resend verification email",""
"passed","Tue Feb 07 18:30:35 EET 2023","Tue Feb 07 18:30:43 EET 2023","7340","","telnyx","","telnyx","A4 - Checking that it is not possible to login with invalid email","A4 - Checking that it is not possible to login with invalid email",""
"passed","Tue Feb 07 18:35:59 EET 2023","Tue Feb 07 18:36:12 EET 2023","13560","","telnyx","","telnyx","A11 - Checking that the button ""Reset password"" is disabled with empty field","A11 - Checking that the button ""Reset password"" is disabled with empty field",""
"passed","Tue Feb 07 18:37:00 EET 2023","Tue Feb 07 18:37:17 EET 2023","16204","","telnyx","","telnyx","A7 - Checking the ability to do to the Login page from the Resend Email page","A7 - Checking the ability to do to the Login page from the Resend Email page",""
"passed","Tue Feb 07 18:36:45 EET 2023","Tue Feb 07 18:37:00 EET 2023","15096","","telnyx","","telnyx","A6 - Checking the ability to do to the Sign Up page from the Resend Email page","A6 - Checking the ability to do to the Sign Up page from the Resend Email page",""
